community_area,year,count
39,2013,1596
39,2014,1500
39,2015,1370
39,2016,1411
39,2017,1531
39,2018,1458
40,2011,4008
40,2012,3470
40,2013,3375
40,2014,2942
40,2015,2768
40,2016,2706
40,2017,2727
40,2018,2801
41,2011,2161
41,2012,1920
41,2013,1670
41,2014,1420
41,2015,1516
41,2016,1761
41,2017,1724
41,2018,1961
42,2011,5709
42,2012,5406
42,2013,4751
42,2014,4193
42,2015,3753
42,2016,3618
42,2017,3841
42,2018,3473
43,2011,12090
43,2012,11619
43,2013,10593
43,2014,9289
43,2015,9099
43,2016,8192
43,2017,8677
43,2018,8653
44,2011,7305
44,2012,7241
44,2013,7156
44,2014,6276
44,2015,6043
44,2016,6254
44,2017,6407
44,2018,6501
45,2011,1958
45,2012,1805
45,2013,1642
45,2014,1501
45,2015,1390
45,2016,1312
45,2017,1284
45,2018,1162
46,2011,6767
46,2012,6545
46,2013,5830
46,2014,5244
46,2015,5087
46,2016,4794
46,2017,4576
46,2018,4319
47,2011,456
47,2012,536
47,2013,471
47,2014,402
47,2015,389
47,2016,399
47,2017,370
47,2018,385
48,2011,2220
48,2012,1923
48,2013,1615
48,2014,1591
48,2015,1484
48,2016,1415
48,2017,1364
48,2018,1386
49,2011,9919
49,2012,9030
49,2013,8159
49,2014,7386
49,2015,6644
49,2016,6879
49,2017,6952
49,2018,6901
50,2011,1191
50,2012,1264
50,2013,1149
50,2014,1223
50,2015,1048
50,2016,1212
50,2017,1097
50,2018,1203
51,2011,2511
51,2012,2293
51,2013,2186
51,2014,2256
51,2015,1922
51,2016,1889
51,2017,1754
51,2018,1747
52,2011,1872
52,2012,1746
52,2013,1502
52,2014,1389
52,2015,1318
52,2016,1332
52,2017,1217
52,2018,1101
53,2011,5909
53,2012,5751
53,2013,5154
53,2014,4374
53,2015,4013
53,2016,3886
53,2017,3996
53,2018,4052
54,2011,1531
54,2012,1586
54,2013,1493
54,2014,1385
54,2015,1189
54,2016,1277
54,2017,1352
54,2018,1355
55,2011,822
55,2012,741
55,2013,717
55,2014,626
55,2015,516
55,2016,584
55,2017,673
55,2018,622
56,2011,2557
56,2012,2468
56,2013,2112
56,2014,1932
56,2015,1854
56,2016,2106
56,2017,1926
56,2018,2084
57,2011,1286
57,2012,1195
57,2013,1201
57,2014,1057
57,2015,996
57,2016,879
57,2017,849
57,2018,816
58,2011,3714
58,2012,3192
58,2013,2897
58,2014,2913
58,2015,2757
58,2016,2632
58,2017,2218
58,2018,2184
59,2011,1429
59,2012,1339
59,2013,1278
59,2014,1058
59,2015,1083
59,2016,1040
59,2017,1052
59,2018,906
60,2011,2330
60,2012,2167
60,2013,1895
60,2014,1802
60,2015,1615
60,2016,1695
60,2017,1515
60,2018,1510
61,2011,7733
61,2012,6815
61,2013,6004
61,2014,5265
61,2015,4997
61,2016,4936
61,2017,4646
61,2018,4224
62,2011,1488
62,2012,1368
62,2013,1294
62,2014,1016
62,2015,1037
62,2016,1096
62,2017,1017
62,2018,1015
63,2011,3741
63,2012,3244
63,2013,2828
63,2014,2626
63,2015,2365
63,2016,2359
63,2017,2307
63,2018,2066
64,2011,1339
64,2012,1278
64,2013,1116
64,2014,1000
64,2015,938
64,2016,966
64,2017,898
64,2018,960
65,2011,2682
65,2012,2448
65,2013,2256
65,2014,2106
65,2015,2055
65,2016,2140
65,2017,1874
65,2018,1775
66,2011,9965
66,2012,8595
66,2013,7299
66,2014,6486
66,2015,6221
66,2016,5838
66,2017,5754
66,2018,5669
67,2011,10824
67,2012,9987
67,2013,9017
67,2014,7607
67,2015,7537
67,2016,6998
67,2017,6950
67,2018,7069
68,2011,9329
68,2012,9095
68,2013,8201
68,2014,7114
68,2015,7243
68,2016,6291
68,2017,5940
68,2018,6207
69,2011,8928
69,2012,8732
69,2013,7738
69,2014,6756
69,2015,6775
69,2016,6605
69,2017,6482
69,2018,6341
70,2011,3138
70,2012,2828
70,2013,2816
70,2014,2572
70,2015,2316
70,2016,2730
70,2017,2510
70,2018,2406
71,2011,10266
71,2012,9421
71,2013,8588
71,2014,7996
71,2015,7844
71,2016,7600
71,2017,7529
71,2018,7376
72,2011,1238
72,2012,1207
72,2013,1022
72,2014,903
72,2015,991
72,2016,988
72,2017,898
72,2018,915
73,2011,4159
73,2012,3966
73,2013,3912
73,2014,3201
73,2015,3165
73,2016,3216
73,2017,3086
73,2018,3183
74,2011,727
74,2012,707
74,2013,626
74,2014,671
74,2015,618
74,2016,613
74,2017,585
74,2018,566
75,2011,2912
75,2012,2713
75,2013,2494
75,2014,2149
75,2015,2087
75,2016,2000
75,2017,2115
75,2018,2136
76,2011,1938
76,2012,1832
76,2013,2133
76,2014,2014
76,2015,1746
76,2016,1801
76,2017,1686
76,2018,1633
77,2011,3339
77,2012,3276
77,2013,2715
77,2014,2331
77,2015,2259
77,2016,2388
77,2017,2637
77,2018,2772
