zindex,name,latitude,url,longitude,id
210800,Belmont Gardens,41.931613,http://www.zillow.com/local-info/IL-Chicago/Belmont-Gardens/r_403317/,-87.734376,403317
432500,Wicker Park,41.906824,http://www.zillow.com/local-info/IL-Chicago/Wicker-Park/r_7930/,-87.677278,7930
278900,Old Irving Park,41.955155,http://www.zillow.com/local-info/IL-Chicago/Old-Irving-Park/r_403288/,-87.737366,403288
203900,The Loop,41.882393,http://www.zillow.com/local-info/IL-Chicago/The-Loop/r_269593/,-87.625861,269593
131500,Calumet Heights,41.729755,http://www.zillow.com/local-info/IL-Chicago/Calumet-Heights/r_273111/,-87.571982,273111
226600,Park West,41.92919,http://www.zillow.com/local-info/IL-Chicago/Park-West/r_403308/,-87.639257,403308
113700,Grand Crossing,41.76221,http://www.zillow.com/local-info/IL-Chicago/Grand-Crossing/r_276349/,-87.595738,276349
295100,Norwood Park East,41.991729,http://www.zillow.com/local-info/IL-Chicago/Norwood-Park-East/r_269602/,-87.792198,269602
308600,Edison Park,42.007861,http://www.zillow.com/local-info/IL-Chicago/Edison-Park/r_269579/,-87.81405,269579
146500,Washington Park,41.791015,http://www.zillow.com/local-info/IL-Chicago/Washington-Park/r_275927/,-87.6159,275927
218500,Pilsen,41.852318,http://www.zillow.com/local-info/IL-Chicago/Pilsen/r_33420/,-87.655448,33420
419600,Roscoe Village,41.943215,http://www.zillow.com/local-info/IL-Chicago/Roscoe-Village/r_403292/,-87.678477,403292
569100,Sheffield Neighbors,41.921239,http://www.zillow.com/local-info/IL-Chicago/Sheffield-Neighbors/r_403306/,-87.661377,403306
444300,Wrightwood Neighbors,41.928963,http://www.zillow.com/local-info/IL-Chicago/Wrightwood-Neighbors/r_403307/,-87.65616,403307
144900,Wrightwood,41.746316,http://www.zillow.com/local-info/IL-Chicago/Wrightwood/r_403151/,-87.692415,403151
155800,Budlong Woods,41.979403,http://www.zillow.com/local-info/IL-Chicago/Budlong-Woods/r_403262/,-87.697889,403262
119100,Burnside,41.729295,http://www.zillow.com/local-info/IL-Chicago/Burnside/r_137634/,-87.600558,137634
88700,Fernwood,41.707434,http://www.zillow.com/local-info/IL-Chicago/Fernwood/r_403377/,-87.633177,403377
366700,Noble Square,41.90336,http://www.zillow.com/local-info/IL-Chicago/Noble-Square/r_403310/,-87.663025,403310
116900,Rosemoor,41.71097,http://www.zillow.com/local-info/IL-Chicago/Rosemoor/r_403379/,-87.611983,403379
160600,Kenwood,41.806817,http://www.zillow.com/local-info/IL-Chicago/Kenwood/r_274178/,-87.591916,274178
118300,Longwood Manor,41.714245,http://www.zillow.com/local-info/IL-Chicago/Longwood-Manor/r_403376/,-87.643133,403376
235300,Schorsch Village,41.941744,http://www.zillow.com/local-info/IL-Chicago/Schorsch-Village/r_403284/,-87.796409,403284
252000,Mayfair,41.96442,http://www.zillow.com/local-info/IL-Chicago/Mayfair/r_403286/,-87.737612,403286
287000,North Mayfair,41.975253,http://www.zillow.com/local-info/IL-Chicago/North-Mayfair/r_403271/,-87.738033,403271
133900,West Woodlawn,41.779287,http://www.zillow.com/local-info/IL-Chicago/West-Woodlawn/r_403353/,-87.610654,403353
415100,Sauganash,41.98633,http://www.zillow.com/local-info/IL-Chicago/Sauganash/r_140292/,-87.738237,140292
407500,East Ukrainian Village,41.899625,http://www.zillow.com/local-info/IL-Chicago/East-Ukrainian-Village/r_403311/,-87.67231,403311
198300,Dunning,41.95265,http://www.zillow.com/local-info/IL-Chicago/Dunning/r_138129/,-87.79667,138129
333000,Old Town Triangle,41.914799,http://www.zillow.com/local-info/IL-Chicago/Old-Town-Triangle/r_403304/,-87.632214,403304
271700,Hollywood Park,41.986485,http://www.zillow.com/local-info/IL-Chicago/Hollywood-Park/r_403268/,-87.717785,403268
232200,Kilbourn Park,41.942452,http://www.zillow.com/local-info/IL-Chicago/Kilbourn-Park/r_403287/,-87.737031,403287
291700,Norwood Park West,41.990037,http://www.zillow.com/local-info/IL-Chicago/Norwood-Park-West/r_403276/,-87.815004,403276
234200,West Loop Gate,41.880646,http://www.zillow.com/local-info/IL-Chicago/West-Loop-Gate/r_403322/,-87.641517,403322
112100,East Chatham,41.743957,http://www.zillow.com/local-info/IL-Chicago/East-Chatham/r_403360/,-87.601143,403360
90900,Hegewisch,41.655592,http://www.zillow.com/local-info/IL-Chicago/Hegewisch/r_138732/,-87.546758,138732
402200,New Eastside,41.886575,http://www.zillow.com/local-info/IL-Chicago/New-Eastside/r_403342/,-87.61705,403342
,Lake Calumet,41.69072,http://www.zillow.com/local-info/IL-Chicago/Lake-Calumet/r_403386/,-87.590366,403386
293500,North Park,41.977341,http://www.zillow.com/local-info/IL-Chicago/North-Park/r_276477/,-87.716333,276477
234300,Old Town,41.907443,http://www.zillow.com/local-info/IL-Chicago/Old-Town/r_403301/,-87.637426,403301
264000,River North,41.889284,http://www.zillow.com/local-info/IL-Chicago/River-North/r_403300/,-87.633167,403300
330400,Ukrainian Village,41.899466,http://www.zillow.com/local-info/IL-Chicago/Ukrainian-Village/r_403312/,-87.68205,403312
