community,year,BATTERY,NARCOTICS,MOTOR VEHICLE THEFT,BURGLARY,DECEPTIVE PRACTICE,ASSAULT,CRIMINAL TRESPASS,ROBBERY,CRIMINAL DAMAGE,THEFT,name,price_nx_yr,svr,tree
24,2014,1005,177,322,685,402,339,154,260,839,2660,west town,268.84833330000004,79.25997244093666,266.8909091
24,2015,943,206,370,472,432,303,118,234,855,2641,west town,272.5416667,512.5156123539629,220.5272727
24,2016,982,89,423,560,525,395,184,387,1034,3213,west town,295.0283333,559.9311143196384,266.8909091
24,2017,963,76,442,652,626,440,173,425,890,3103,west town,299.0966667,65.12578408715414,266.8909091
24,2018,874,57,289,500,594,444,164,287,795,2772,west town,290.98,300.45460876233045,266.8909091
25,2011,4038,5472,816,1430,524,1256,434,1090,1886,3166,austin,33.78181818,-1168.6965534344351,220.5272727
25,2012,4230,4614,826,1100,505,1262,333,973,1744,3276,austin,42.59166667,-1321.9295737565997,220.5272727
25,2013,3997,4826,633,728,520,1140,353,745,1571,3255,austin,51.46666667,-2744.4686632223465,220.5272727
25,2014,3649,4126,640,595,754,1147,465,758,1422,2509,austin,56.95833333,-761.5305982075669,220.5272727
25,2015,3564,3272,655,479,845,1096,354,771,1542,2174,austin,63.70833333,-270.64729670617163,103.1
25,2016,3682,1877,790,499,752,1236,317,856,1820,2309,austin,78.60833333,78.82035460490367,78.60833333
25,2017,3346,1461,730,522,816,1198,265,831,1668,2144,austin,93.91666667,135.62506868857525,78.60833333
25,2018,3376,1363,661,496,723,1224,312,780,1418,2302,austin,103.1,103.09170126337192,103.1
26,2011,1273,1655,253,200,215,361,90,322,434,745,west garfield park,12.15454545,166.87702578421084,21.08333333
26,2012,1202,1660,278,284,451,333,90,318,483,841,west garfield park,11.05833333,-192.5182045593836,46.0
26,2013,1115,2354,186,168,339,307,95,227,429,740,west garfield park,17.55,-598.5766775588717,63.75833333
26,2014,1005,2196,138,136,274,294,108,243,376,604,west garfield park,16.58333333,-184.4367196210231,73.04166667
26,2015,1033,2086,156,111,166,325,87,296,402,505,west garfield park,26.625,340.12265814554047,73.04166667
26,2016,1134,1416,213,132,173,329,97,351,504,587,west garfield park,26.675,381.08570238418105,73.04166667
26,2017,1117,991,215,134,186,401,156,310,496,583,west garfield park,37.54166667,269.9216564833616,73.04166667
26,2018,1129,1078,174,137,182,395,196,314,549,630,west garfield park,43.66666667,256.79999359120774,73.04166667
27,2011,1300,1336,368,299,130,414,147,292,522,975,east garfield park,21.49090909,139.31660968843715,176.3
27,2012,1253,1391,294,232,221,398,102,339,516,841,east garfield park,26.76666667,225.0807864855007,21.08333333
27,2013,1184,1700,239,189,196,403,125,247,470,786,east garfield park,31.925,54.354208103918765,21.08333333
27,2014,1180,1617,190,173,186,392,115,221,404,674,east garfield park,42.38333333,13.726217578368207,21.08333333
27,2015,1077,1497,162,146,159,390,110,226,442,581,east garfield park,55.50833333,154.12879427404476,73.04166667
27,2016,1204,754,215,121,164,433,110,227,496,633,east garfield park,73.04166667,126.91179214908259,73.04166667
27,2017,1144,647,200,129,167,378,191,246,430,578,east garfield park,77.29166667,79.53342742544116,73.04166667
27,2018,1169,602,171,128,134,436,116,293,478,703,east garfield park,75.1,176.09448070505385,73.04166667
28,2011,1304,554,558,411,457,491,339,385,857,3438,near west side,123.3772727,541.3637662185785,220.5272727
28,2012,1287,467,523,380,502,508,365,351,872,3391,near west side,139.8208333,859.8924721323848,220.5272727
28,2013,1140,469,394,264,572,455,394,298,669,3063,near west side,167.6708333,864.1803052660972,220.5272727
28,2014,1198,336,327,238,589,449,343,277,627,2837,near west side,182.6791667,623.2497756702788,220.5272727
28,2015,1132,329,329,284,664,470,270,276,803,2701,near west side,204.0666667,956.8242508368995,220.5272727
28,2016,1237,205,328,279,804,517,257,354,1012,3660,near west side,209.1041667,1496.774186708309,220.5272727
28,2017,1179,169,408,307,795,588,232,458,881,3343,near west side,219.8708333,589.459086801434,266.8909091
28,2018,1283,173,365,281,855,656,282,344,808,3601,near west side,220.0333333,738.267693247689,266.8909091
29,2011,2192,2105,492,518,154,596,155,467,906,1410,north lawndale,14.56363636,14.744224746754455,14.56363636
29,2012,2277,2344,371,528,182,649,122,447,1005,1393,north lawndale,16.33333333,-295.07381173655523,14.56363636
29,2013,1965,2773,216,426,227,557,226,385,755,1208,north lawndale,19.7,-520.3685203265785,11.525
29,2014,1834,2103,228,381,279,540,184,395,771,1069,north lawndale,21.75,-124.85900941865187,10.74166667
29,2015,1909,1755,250,302,279,541,192,391,830,913,north lawndale,26.475,-3.25749611326394,38.18333333
29,2016,2172,1188,345,295,316,670,174,450,1017,954,north lawndale,38.18333333,37.48469730913273,38.18333333
29,2017,2016,1649,361,266,261,648,281,392,840,965,north lawndale,51.41666667,71.69744906148041,46.0
29,2018,1929,2101,307,296,277,684,251,376,869,997,north lawndale,62.03333333,95.94292344576313,183.45
30,2011,1144,575,574,318,119,378,87,245,676,924,south lawndale,30.22727273,-40.935999416004805,38.18333333
30,2012,1197,542,385,312,121,383,71,262,693,967,south lawndale,34.70833333,34.89958497563127,34.70833333
30,2013,1000,453,256,253,125,357,86,243,632,878,south lawndale,43.23333333,49.580615894620834,36.46666667
30,2014,993,456,224,241,160,322,72,184,568,828,south lawndale,51.65,71.6292957029065,51.65
30,2015,1011,344,208,178,172,305,57,205,566,700,south lawndale,59.675,96.32162926408562,51.65
30,2016,1081,161,246,195,237,407,71,242,570,776,south lawndale,67.54166667,74.00808770184737,51.65
30,2017,940,177,247,193,143,393,71,210,570,851,south lawndale,89.71666667,35.97101216498338,51.65
30,2018,990,269,249,177,177,372,90,195,526,795,south lawndale,100.3,73.61494686498115,63.75833333
31,2011,568,305,297,225,97,207,80,78,494,678,lower west side,84.49090909,95.57715673092677,120.03333329999998
31,2012,533,281,332,135,91,237,70,78,443,676,lower west side,92.58333333,92.14934970200481,135.4
31,2013,507,229,257,155,102,193,85,66,389,722,lower west side,113.5833333,143.15055508039876,135.4
31,2014,446,193,174,122,116,182,86,47,378,679,lower west side,113.14166670000002,173.56221741021653,91.72727273
31,2015,461,131,166,87,114,199,63,63,395,541,lower west side,167.7666667,130.83889954598197,167.7666667
31,2016,484,83,113,136,169,216,42,86,399,589,lower west side,188.4583333,144.19567321477297,196.6
31,2017,529,40,112,201,132,222,78,113,373,521,lower west side,210.5833333,99.55885771059472,165.79166669999995
31,2018,442,59,101,118,146,218,70,95,299,563,lower west side,210.3,112.51512526824006,167.7666667
32,2011,556,286,128,90,816,282,391,240,291,3988,loop,291.3696970000001,291.3974468014632,291.3696970000001
32,2012,597,213,65,115,1006,295,395,201,277,4160,loop,322.1722222,322.00134062654905,322.1722222
