community,year,BATTERY,NARCOTICS,MOTOR VEHICLE THEFT,BURGLARY,DECEPTIVE PRACTICE,ASSAULT,CRIMINAL TRESPASS,ROBBERY,CRIMINAL DAMAGE,THEFT,name,price_nx_yr,svr,tree
72,2014,99,27,25,77,103,53,21,24,114,253,beverly,148.775,122.17146562299347,195.8
72,2015,101,14,24,62,109,61,38,20,146,323,beverly,150.05,144.53752905138498,150.05
72,2016,110,18,47,98,111,56,27,22,136,244,beverly,152.91666669999995,132.5473732975599,217.325
72,2017,98,10,41,64,100,63,29,24,129,238,beverly,157.70833330000005,128.63166421332352,157.70833330000005
72,2018,114,12,39,62,103,57,35,9,123,242,beverly,143.8666667,134.75601419102094,143.8666667
73,2011,718,400,250,407,147,247,78,170,512,758,washington heights,37.49090909,75.34150591462019,37.49090909
73,2012,733,386,200,283,159,263,86,223,450,738,washington heights,42.9875,91.67758443599375,47.33333333
73,2013,660,408,124,218,172,271,75,228,421,852,washington heights,52.73333333,55.44505139702157,52.73333333
73,2014,561,293,139,169,191,228,104,128,318,665,washington heights,57.99166667,111.94302149336652,134.9916667
73,2015,603,244,134,177,241,255,79,106,396,491,washington heights,65.63333333,116.87429362624168,25.3
73,2016,586,126,154,179,204,221,94,151,451,565,washington heights,83.3875,127.94564977830957,83.03333333
73,2017,603,64,145,194,180,214,81,138,408,609,washington heights,77.87916667,132.28520912156745,77.87916667
73,2018,616,77,157,169,224,256,130,92,383,628,washington heights,83.03333333,146.1462930249101,83.03333333
74,2011,125,37,15,29,37,59,19,9,125,164,mount greenwood,147.38181819999997,110.30662162468086,24.80833333
74,2012,107,17,16,20,36,48,19,10,116,211,mount greenwood,139.85,116.4165183711904,149.7
74,2013,96,16,4,38,43,37,15,9,98,179,mount greenwood,154.95833330000005,113.17213172620693,149.7
74,2014,90,18,19,35,57,52,26,4,94,173,mount greenwood,163.2583333,116.26212640750343,171.83333330000005
74,2015,87,13,11,19,81,62,19,6,62,158,mount greenwood,175.9666667,113.37804198284873,167.4833333
74,2016,107,12,8,30,79,26,17,10,82,163,mount greenwood,176.9833333,119.34623734351196,179.1
74,2017,91,4,18,21,73,43,25,7,67,159,mount greenwood,180.8,115.92678945649475,179.1
74,2018,74,5,14,25,69,38,33,7,71,157,mount greenwood,179.1,118.25690562908737,179.1
75,2011,535,229,130,278,113,190,70,98,328,646,morgan park,73.72727273,81.27028054594045,114.03333329999998
75,2012,433,213,144,201,147,166,59,93,318,640,morgan park,54.10833333,114.48194847766642,91.72727273
75,2013,429,218,89,121,149,189,45,84,257,635,morgan park,66.53333333,93.13243883995817,92.60833333
75,2014,377,178,76,113,136,142,60,56,209,529,morgan park,94.99166667,107.69831380104658,91.72727273
75,2015,345,138,71,99,185,171,41,59,236,491,morgan park,96.16666667,130.1771336178055,142.54166669999995
75,2016,391,65,67,110,192,155,45,50,255,406,morgan park,114.46666670000002,149.10931954408733,142.54166669999995
75,2017,397,35,80,117,159,153,51,61,286,491,morgan park,112.4416667,154.1980461809573,167.7666667
75,2018,402,48,79,91,161,168,77,27,238,528,morgan park,100.3,156.66412853036962,251.8333333
76,2011,166,158,38,18,120,54,170,10,125,562,ohare,153.2,246.12061204599667,127.975
76,2012,150,198,69,29,129,64,96,10,124,583,ohare,191.05,185.51910111041724,127.975
76,2013,147,222,63,23,121,64,82,8,112,563,ohare,197.8083333,159.708513000128,127.975
76,2014,160,190,94,19,123,66,145,8,115,462,ohare,176.20833330000005,209.6703437425196,54.45833333
76,2015,170,138,46,17,160,78,177,17,112,517,ohare,223.225,231.0635798822106,204.85
76,2016,172,173,102,19,248,76,142,13,120,548,ohare,215.9,244.21933564444697,127.975
76,2017,197,139,77,16,254,86,153,6,94,501,ohare,204.85,204.73921222089047,204.85
76,2018,205,65,67,16,242,82,96,4,113,584,ohare,237.6333333,213.53146891135037,280.125
77,2011,557,191,165,234,163,158,79,128,309,996,edgewater,124.3818182,85.20996933922213,124.3818182
77,2012,525,151,123,271,161,176,87,98,354,999,edgewater,142.125,108.48426257976023,142.125
77,2013,433,103,90,173,170,152,99,100,231,868,edgewater,163.93333330000004,100.52590567773511,197.925
77,2014,394,111,78,100,207,129,61,62,219,714,edgewater,177.75,150.70105389291638,197.925
77,2015,374,58,95,109,198,148,82,54,218,684,edgewater,187.0916667,167.13206331049076,197.925
77,2016,388,45,97,131,280,140,59,92,213,717,edgewater,192.9583333,163.43494423878946,200.7666667
77,2017,441,33,88,108,304,136,97,92,236,885,edgewater,200.7666667,220.2640675516297,200.7666667
77,2018,477,17,96,154,294,190,113,76,293,839,edgewater,193.7666667,241.1662039623472,210.6
