community,year,BATTERY,ASSAULT,CRIM SEXUAL ASSAULT,BURGLARY,ROBBERY,WEAPONS VIOLATION,CRIMINAL TRESPASS,HOMICIDE,DECEPTIVE PRACTICE,KIDNAPPING,MOTOR VEHICLE THEFT,THEFT,NARCOTICS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,PROSTITUTION,CRIMINAL DAMAGE,name,change_nx_yr
73,2018,13,42,-1,-25,-46,0,49,-11,45,-2,12,19,13,-12,5,-1,-25,washington heights,5.154166660000001
74,2012,-18,-11,4,-9,1,-2,0,0,-1,3,1,47,-20,-2,-3,0,-9,mount greenwood,-7.531818199999975
74,2013,-11,-11,-4,18,-1,1,-4,0,7,12,-12,-32,-1,-3,2,0,-18,mount greenwood,15.108333300000027
74,2014,-6,15,-2,-3,-5,0,11,0,14,-13,15,-6,2,9,6,0,-4,mount greenwood,8.299999999999983
74,2015,-3,10,6,-16,2,1,-7,0,24,1,-8,-15,-5,-6,-7,0,-32,mount greenwood,12.708333399999987
74,2016,20,-36,-4,11,4,-2,-2,0,-2,-4,-3,5,-1,-5,1,0,20,mount greenwood,1.0166666000000077
74,2017,-16,17,-2,-9,-3,2,8,0,-6,3,10,-4,-8,8,0,0,-15,mount greenwood,3.816666700000013
74,2018,-17,-5,3,4,0,-1,8,1,-4,0,-4,-2,1,-8,-1,0,4,mount greenwood,-1.700000000000017
75,2012,-102,-24,-6,-77,-5,2,-11,0,34,-4,14,-6,-16,22,-7,0,-10,morgan park,-19.618939399999995
75,2013,-4,23,4,-80,-9,-5,-14,1,2,6,-55,-5,5,-6,-1,0,-61,morgan park,12.425000000000004
75,2014,-52,-47,0,-8,-28,-1,15,0,-13,1,-13,-106,-40,1,6,0,-48,morgan park,28.458333339999996
75,2015,-32,29,-2,-14,3,-6,-19,1,49,-6,-5,-38,-40,-12,-10,0,27,morgan park,1.1749999999999972
75,2016,46,-16,-3,11,-9,0,4,-1,7,2,-4,-85,-73,16,2,0,19,morgan park,18.30000003000002
75,2017,6,-2,4,7,11,16,6,-1,-33,-1,13,85,-30,-2,5,0,31,morgan park,-2.0250000000000057
75,2018,5,15,6,-26,-34,0,26,-1,2,1,-1,37,13,8,-4,0,-48,morgan park,-12.141666700000016
76,2012,-16,10,-2,11,0,3,-74,1,9,0,31,21,40,-1,-5,-2,-1,ohare,37.85000000000002
76,2013,-3,0,0,-6,-2,-6,-14,-1,-8,0,-6,-20,24,7,0,4,-12,ohare,6.758333300000004
76,2014,13,2,4,-4,0,7,63,1,2,1,31,-101,-32,-8,-4,4,3,ohare,-21.599999999999994
76,2015,10,12,-1,-2,9,-1,32,0,37,-1,-48,55,-52,3,5,-8,-3,ohare,47.01666669999997
76,2016,2,-2,2,2,-4,-5,-35,-1,88,0,56,31,35,-4,-2,0,8,ohare,-7.324999999999989
76,2017,25,10,-4,-3,-7,5,11,1,6,2,-25,-47,-34,1,0,0,-26,ohare,-11.050000000000011
76,2018,8,-4,2,0,-2,4,-57,-1,-12,-2,-10,83,-74,3,4,0,19,ohare,32.78333330000001
77,2012,-32,18,2,37,-30,-6,8,2,-2,0,-42,3,-40,-2,2,0,45,edgewater,17.743181800000002
77,2013,-92,-24,-6,-98,2,3,12,-3,9,1,-33,-131,-48,8,-6,0,-123,edgewater,21.808333300000015
77,2014,-39,-23,6,-73,-38,-6,-38,0,37,-1,-12,-154,8,-4,4,0,-12,edgewater,13.816666699999985
77,2015,-20,19,3,9,-8,4,21,0,-9,0,17,-30,-53,-5,-8,0,-1,edgewater,9.34166669999999
77,2016,14,-8,11,22,38,2,-23,-1,82,1,2,33,-13,2,4,0,-5,edgewater,5.8666666000000305
77,2017,53,-4,-12,-23,0,-8,38,1,24,-1,-9,168,-12,3,-3,0,23,edgewater,7.808333399999981
77,2018,36,54,9,46,-16,-4,16,-1,-10,0,8,-46,-16,-4,6,0,57,edgewater,-7.0
